Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.062372625,1.8753256,0.99007213,0.104121305,582,1458,0.04065688775510204,50176
Spatial Mask 2,0.044807374,1.9161339,0.98913527,0.105080865,576,1518,0.04173309948979592,50176
Temporal Mask,0.07329565,1.9202803,0.9635719,0.37486356,854,1123,0.7354910714285714,2688
