Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.645569801,5.528390436,42.70094,86.761444,25.315481,0.939521432,2.521836255
Masked_GNN,2.299129963,4.827518363,35.918518,84.01014,22.000395,0.953883946,
