Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.03643918,1.9344283,0.97773546,0.17377579,964,2478,0.06859853316326531,50176
Spatial Mask 2,0.03325206,1.9354775,0.97241765,0.17837162,790,2690,0.06935586734693877,50176
Temporal Mask,0.06860387,1.9307084,0.9485446,0.34406033,800,1151,0.7258184523809523,2688
