Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,3.165958166,6.911556915,46.616467,88.96889,30.295082,0.905472994,2.534910781
Masked_GNN,2.629601717,5.683099407,38.04961,85.37587,25.162682,0.936089158,
