Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.04660374,1.9404255,0.9809482,0.14700353,932,2432,0.06704400510204081,50176
Spatial Mask 2,0.06603056,1.9127638,0.9806058,0.1484714,924,2474,0.06772161989795919,50176
Temporal Mask,0.079814255,1.937849,0.9730913,0.34060764,845,1038,0.7005208333333334,2688
