Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.872701168,6.141989986,43.00057,88.69783,27.488903,0.925351262,2.52689847
Masked_GNN,2.426948309,5.079135078,35.503464,85.21788,23.223492,0.948951423,
