Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.500060081,5.38553545,37.540264,86.53996,23.923098,0.942606628,2.489411504
Masked_GNN,2.331480742,5.072135891,35.312366,84.3197,22.30996,0.949092031,
