Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.06505883,1.8756046,0.9889501,0.108135834,586,1588,0.04332748724489796,50176
Spatial Mask 2,0.058849275,1.9067045,0.9883301,0.110454015,588,1636,0.04432397959183673,50176
Temporal Mask,0.11520326,1.9026711,0.9601205,0.35426366,828,1126,0.7269345238095238,2688
