Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.896491528,6.19757616,46.570934,91.28885,27.716553,0.923994005,2.527976675
Masked_GNN,2.382176638,5.058150884,36.637638,86.3715,22.795069,0.949372351,
