Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.0689227,1.8907204,0.99137956,0.10799964,678,1416,0.04173309948979592,50176
Spatial Mask 2,0.05218619,1.9231334,0.9908654,0.10507199,606,1434,0.04065688775510204,50176
Temporal Mask,0.06802344,1.916679,0.93616724,0.3669097,761,1183,0.7232142857142857,2688
