Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.547471762,5.33446441,41.738373,85.48095,24.37678,0.943689942,2.518531914
Masked_GNN,2.345732212,4.898758338,37.83625,83.86348,22.446331,0.95251286,
