Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.07901323,1.9016793,0.9863482,0.13741556,1114,2272,0.06748246173469388,50176
Spatial Mask 2,0.070803046,1.8895274,0.98644185,0.13721901,1064,2366,0.068359375,50176
Temporal Mask,0.08216554,1.8816937,0.9238389,0.3331036,695,1240,0.7198660714285714,2688
