Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.886191368,5.875133432,49.425804,89.0555,27.61799,0.931697011,2.525511467
Masked_GNN,2.369402885,4.874690511,38.3477,84.7404,22.672838,0.952978313,
