Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.071196675,1.882067,0.97897846,0.16042155,1318,3030,0.08665497448979592,50176
Spatial Mask 2,0.05948651,1.8824079,0.9790725,0.15725406,1318,3052,0.08709343112244898,50176
Temporal Mask,0.08978915,1.918354,0.97959775,0.3425232,860,1039,0.7064732142857143,2688
