Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.803069115,6.140629659,46.083096,88.763374,26.822594,0.925384343,2.528900068
Masked_GNN,2.377742767,5.058225546,37.901978,84.6463,22.752644,0.949370861,
