Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.566768646,5.312505026,40.856785,86.25479,24.561434,0.944152594,2.525774705
Masked_GNN,2.293229342,4.827929051,35.344326,83.89114,21.943933,0.953876138,
