Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.06724197,1.8838336,0.98913825,0.10917575,598,1494,0.041693239795918366,50176
Spatial Mask 2,0.04945451,1.8877218,0.9892785,0.10636747,560,1490,0.0408561862244898,50176
Temporal Mask,0.07075918,1.9190261,0.99598986,0.39385512,931,1049,0.7366071428571429,2688
