Model_Type,MAE,RMSE,MAPE,SMAPE,WAPE,R2,Avg_Epoch_Time_s
Original_GNN,2.578295946121216,5.3793475289328665,41.273705,86.62136,24.671736,0.94273841381073,2.52079478263855
Masked_GNN,2.2689080238342285,4.723653102828812,35.213398,83.78225,21.711203,0.9558470249176025,
