Mask,Min,Max,Mean,Std,N_Str,N_Weak,Activity,Total
Spatial Mask 1,0.07047087,1.8970697,0.98963344,0.10578045,536,1476,0.04009885204081633,50176
Spatial Mask 2,0.06463611,1.8892682,0.9893916,0.09952277,510,1448,0.03902264030612245,50176
Temporal Mask,0.05917871,1.9039471,0.9491076,0.39470246,837,1188,0.7533482142857143,2688
